workclass,native-country
 State-gov, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Private, Cuba
 Private, United-States
 Private, Jamaica
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 State-gov, India
 Private, United-States
 Private, United-States
 Private, ?
 Private, Mexico
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Federal-gov, United-States
 Private, United-States
 Private, United-States
 Local-gov, United-States
 Private, United-States
 ?, South
 Private, United-States
 Private, United-States
 Local-gov, United-States
 Private, United-States
 Private, United-States
 Federal-gov, United-States
 State-gov, United-States
 Private, Puerto-Rico
 Private, United-States
 Private, United-States
 Private, ?
 Self-emp-not-inc, United-States
 Private, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Federal-gov, United-States
 Private, United-States
 Private, United-States
 State-gov, United-States
 Private, United-States
 Private, United-States
 Private, ?
 Private, Honduras
 Federal-gov, United-States
 Self-emp-inc, United-States
 Private, United-States
 Private, Mexico
 Private, Puerto-Rico
 Private, United-States
 Private, United-States
 Private, United-States
 ?, ?
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Self-emp-inc, United-States
 ?, United-States
 Private, United-States
 Private, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Private, Mexico
 Private, United-States
 ?, United-States
 Private, United-States
 Local-gov, United-States
 Private, United-States
 Private, Cuba
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Local-gov, United-States
 Private, United-States
 Private, United-States
 Federal-gov, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, ?
 Local-gov, United-States
 Local-gov, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, England
 Federal-gov, United-States
 Private, United-States
 Private, United-States
 Self-emp-not-inc, United-States
 Private, United-States
 Private, United-States
 Self-emp-inc, United-States
 ?, United-States
 Private, United-States
 Local-gov, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Self-emp-not-inc, Canada
 Private, United-States
 Private, United-States
 Private, United-States
 Self-emp-inc, United-States
 Local-gov, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, Germany
 State-gov, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 ?, United-States
 Private, United-States
 Private, United-States
 Private, United-States
 Self-emp-not-inc, United-States
