workclass,education,marital-status,native-country
 State-gov, Bachelors, Never-married, United-States
 Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Divorced, United-States
 Private, 11th, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, Cuba
 Private, Masters, Married-civ-spouse, United-States
 Private, 9th, Married-spouse-absent, Jamaica
 Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States
 Private, Masters, Never-married, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 Private, Some-college, Married-civ-spouse, United-States
 State-gov, Bachelors, Married-civ-spouse, India
 Private, Bachelors, Never-married, United-States
 Private, Assoc-acdm, Never-married, United-States
 Private, Assoc-voc, Married-civ-spouse, ?
 Private, 7th-8th, Married-civ-spouse, Mexico
 Self-emp-not-inc, HS-grad, Never-married, United-States
 Private, HS-grad, Never-married, United-States
 Private, 11th, Married-civ-spouse, United-States
 Self-emp-not-inc, Masters, Divorced, United-States
 Private, Doctorate, Married-civ-spouse, United-States
 Private, HS-grad, Separated, United-States
 Federal-gov, 9th, Married-civ-spouse, United-States
 Private, 11th, Married-civ-spouse, United-States
 Private, HS-grad, Divorced, United-States
 Local-gov, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, United-States
 ?, Some-college, Married-civ-spouse, South
 Private, HS-grad, Divorced, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Local-gov, Assoc-acdm, Never-married, United-States
 Private, Some-college, Never-married, United-States
 Private, Bachelors, Divorced, United-States
 Federal-gov, Some-college, Married-civ-spouse, United-States
 State-gov, Some-college, Married-civ-spouse, United-States
 Private, 11th, Never-married, Puerto-Rico
 Private, Some-college, Never-married, United-States
 Private, HS-grad, Married-AF-spouse, United-States
 Private, Some-college, Married-civ-spouse, ?
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, United-States
 Private, 9th, Married-civ-spouse, United-States
 Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Separated, United-States
 Private, HS-grad, Never-married, United-States
 Federal-gov, Bachelors, Married-civ-spouse, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Private, Masters, Divorced, United-States
 State-gov, Assoc-voc, Married-civ-spouse, United-States
 Private, Assoc-voc, Never-married, United-States
 Private, Some-college, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, ?
 Private, Prof-school, Married-civ-spouse, Honduras
 Federal-gov, Bachelors, Divorced, United-States
 Self-emp-inc, HS-grad, Divorced, United-States
 Private, Some-college, Married-civ-spouse, United-States
 Private, 5th-6th, Married-civ-spouse, Mexico
 Private, Assoc-voc, Married-civ-spouse, Puerto-Rico
 Private, HS-grad, Married-civ-spouse, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 ?, 7th-8th, Married-spouse-absent, ?
 Private, HS-grad, Married-civ-spouse, United-States
 Private, Doctorate, Married-civ-spouse, United-States
 Private, Some-college, Divorced, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Private, Some-college, Divorced, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Self-emp-inc, Some-college, Married-civ-spouse, United-States
 ?, Some-college, Never-married, United-States
 Private, Some-college, Never-married, United-States
 Private, Bachelors, Separated, United-States
 Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States
 Private, Some-college, Never-married, United-States
 Private, Some-college, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, Mexico
 Private, Assoc-acdm, Married-civ-spouse, United-States
 ?, 10th, Married-civ-spouse, United-States
 Private, 11th, Never-married, United-States
 Local-gov, 7th-8th, Married-civ-spouse, United-States
 Private, HS-grad, Never-married, United-States
 Private, Bachelors, Married-civ-spouse, Cuba
 Private, HS-grad, Married-civ-spouse, United-States
 Private, HS-grad, Married-civ-spouse, United-States
 Private, HS-grad, Divorced, United-States
 Private, HS-grad, Divorced, United-States
 Local-gov, HS-grad, Married-civ-spouse, United-States
 Private, Masters, Married-civ-spouse, United-States
 Private, 9th, Never-married, United-States
 Federal-gov, Doctorate, Never-married, United-States
 Private, Assoc-voc, Married-civ-spouse, United-States
 Private, Some-college, Divorced, United-States
 Private, Some-college, Divorced, United-States
 Private, HS-grad, Married-civ-spouse, ?
 Local-gov, Bachelors, Married-civ-spouse, United-States
 Local-gov, Some-college, Never-married, United-States
 Self-emp-not-inc, Doctorate, Married-civ-spouse, United-States
 Private, Some-college, Married-civ-spouse, United-States
 Private, Assoc-acdm, Divorced, England
 Federal-gov, HS-grad, Never-married, United-States
 Private, Masters, Married-civ-spouse, United-States
 Private, Bachelors, Married-civ-spouse, United-States
 Self-emp-not-inc, Masters, Never-married, United-States
 Private, Some-college, Never-married, United-States
 Private, HS-grad, Never-married, United-States
 Self-emp-inc, HS-grad, Married-civ-spouse, United-States
 ?, 10th, Never-married, United-States
 Private, 11th, Never-married, United-States
