workclass,education,marital-status,occupation,relationship,race
 State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White
 Private, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black
 Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White
 Private, 9th, Married-spouse-absent, Other-service, Not-in-family, Black
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
 Private, Bachelors, Never-married, Adm-clerical, Own-child, White
 Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
 Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White
 Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White
 Private, 11th, Married-civ-spouse, Sales, Husband, White
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White
 Private, HS-grad, Separated, Other-service, Unmarried, Black
 Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black
 Private, 11th, Married-civ-spouse, Transport-moving, Husband, White
 Private, HS-grad, Divorced, Tech-support, Unmarried, White
 Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White
 Private, HS-grad, Never-married, Craft-repair, Own-child, White
 ?, Some-college, Married-civ-spouse, ?, Husband, Asian-Pac-Islander
 Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White
 Private, Some-college, Never-married, Sales, Own-child, Black
 Private, Bachelors, Divorced, Exec-managerial, Own-child, White
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White
 State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black
 Private, 11th, Never-married, Machine-op-inspct, Unmarried, White
 Private, Some-college, Never-married, Machine-op-inspct, Own-child, White
 Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White
 Private, Some-college, Married-civ-spouse, Sales, Husband, White
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White
 Private, HS-grad, Separated, Adm-clerical, Unmarried, White
 Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Masters, Divorced, Exec-managerial, Unmarried, White
 State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White
 Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White
 ?, 7th-8th, Married-spouse-absent, ?, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White
 Private, Some-college, Divorced, Tech-support, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, White
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White
 ?, Some-college, Never-married, ?, Own-child, White
 Private, Some-college, Never-married, Prof-specialty, Own-child, White
 Private, Bachelors, Separated, Sales, Own-child, Black
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White
 Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White
 Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White
 Private, HS-grad, Never-married, Other-service, Own-child, White
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White
 ?, 10th, Married-civ-spouse, ?, Husband, White
 Private, 11th, Never-married, Other-service, Own-child, White
 Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White
 Private, HS-grad, Never-married, Sales, Not-in-family, White
 Private, Bachelors, Married-civ-spouse, Other-service, Husband, White
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, White
